canonical,직무,출현수,제외사유
RAG,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
MLOps,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
GCP,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
파인튜닝,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
시계열분석,da,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
멀티모달,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Azure,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
LLM평가,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
프롬프트엔지니어링,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
이상탐지,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
REST API,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Go,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Pandas,da,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
임베디드,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
회귀,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
MySQL,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
scikit-learn,da,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
TypeScript,ds,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
NumPy,da,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
dbt,mle,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
dbt,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
ElasticSearch,ds,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
CNN,de,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Prometheus,mle,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Redis,ds,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Athena,mle,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Redshift,mle,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Redshift,da,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Iceberg,mle,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Kotlin,ds,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
PowerBI,mle,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
PySpark,mle,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
ArgoCD,ds,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
ELK,ds,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
ELK,mle,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Scala,ds,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Scala,mle,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Rust,ds,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
DAP,ds,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
DAP,mle,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
QuickSight,ds,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
QuickSight,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
SQLP,ds,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
SQLP,mle,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
DASP,ds,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
SQLD,mle,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
MariaDB,ds,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
ADsP,de,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
ADsP,mle,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
ADsP,da,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
Nifi,de,2,"출현 2건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
MSSQL,de,1,"출현 1건 < 3건, 표본 부족으로 통계 주장 불가 (판단 기준 ①)"
